location	station	Affiliations	website	city	state	broadcaster	source	collection_date
Birmingham, AL	WTTO	CW	https://www.wtto21.com	Birmingham	AL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Birmingham, AL	WBMA	ABC	https://www.abc3340.comNewsletter	Birmingham	AL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Birmingham, AL	WDBB	CW, ABC		Birmingham	AL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Boise, ID	KBOI	CBS, CW	https://idahonews.com/Newsletter	Boise	ID	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Boise, ID	KYUU	CW	https://www.cwtreasurevalley.com	Boise	ID	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Buffalo, NY	WNYO	MyTV	https://www.mytvbuffalo.com	Buffalo	NY	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Buffalo, NY	WUTV	FOX	https://www.wutv29.com	Buffalo	NY	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Butte-Bozeman	KDBZ-CD	NBC		Butte-Bozeman		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Butte-Bozeman	KTVM	NBC		Butte-Bozeman		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Cedar Rapids - Waterloo - Dubuque, IA	KFXA			Cedar Rapids - Waterloo - Dubuque	IA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Cedar Rapids - Waterloo - Dubuque, IA	KGAN	CBS	https://www.cbs2iowa.comNewsletter	Cedar Rapids - Waterloo - Dubuque	IA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Champaign - Springfield - Decatur, IL	WBUI	CW	https://www.cw23tv.com	Champaign - Springfield - Decatur	IL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Champaign - Springfield - Decatur, IL	WCCU	FOX	https://www.foxillinois.comNewsletter	Champaign - Springfield - Decatur	IL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Champaign - Springfield - Decatur, IL	WICD	ABC	https://newschannel20.comNewsletter	Champaign - Springfield - Decatur	IL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Champaign - Springfield - Decatur, IL	WICS	ABC	https://newschannel20.comNewsletter	Champaign - Springfield - Decatur	IL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Champaign - Springfield - Decatur, IL	WRSP	FOX	https://www.foxillinois.comNewsletter	Champaign - Springfield - Decatur	IL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
